,Make_Honda,Make_Maruti Suzuki,Make_Hyundai,Make_Toyota,Make_BMW,Make_Skoda,Make_Nissan,Make_Renault,Make_Tata,Make_Volkswagen,Make_Ford,Make_Mercedes-Benz,Make_Audi,Make_Mahindra,Make_MG,Make_Jeep,Make_Kia,Make_Volvo,Make_Porsche,Make_Isuzu,Make_Jaguar,Make_Land Rover,Make_MINI,Make_Mitsubishi,Make_Datsun,Make_Chevrolet,Make_Ssangyong,Make_Fiat,Make_Lexus,Model,Price,Year,Kilometer,Fuel Type_Petrol,Fuel Type_Diesel,Fuel Type_CNG,Fuel Type_CNG + CNG,Fuel Type_LPG,Fuel Type_Petrol + CNG,Transmission_Manual,Transmission_Automatic,Location,Color,Owner_First,Owner_Second,Owner_Third,Owner_UnRegistered Car,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amaze 1.2 VX i-VTEC,0.11541381928625664,0.8529411764705882,0.043539132717476905,1,0,0,0,0,0,1,0,Pune,Grey,1,0,0,0,Corporate,1198 cc,FWD,0.41384115188109616,0.2895480225988701,0.2979942693409742,0.5,0.23529411764705882
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift DZire VDI,0.10149329283725639,0.7647058823529411,0.037463904896433614,0,1,0,0,0,0,1,0,Ludhiana,White,0,1,0,0,Individual,1248 cc,FWD,0.41616349280074316,0.3107344632768362,0.36962750716332377,0.5,0.3176470588235294
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i10 Magna 1.2 Kappa2,0.04328018223234624,0.6764705882352942,0.033463754890808405,1,0,0,0,0,0,1,0,Lucknow,Maroon,1,0,0,0,Individual,1197 cc,FWD,0.22573153738968882,0.1694915254237288,0.3624641833810888,0.5,0.23529411764705882
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glanza G,0.18982536066818528,0.9117647058823529,0.01871320174506544,1,0,0,0,0,0,1,0,Mangalore,Red,1,0,0,0,Individual,1197 cc,FWD,0.41616349280074316,0.3813559322033898,0.30515759312320917,0.5,0.25882352941176473
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Innova 2.4 VX 7 STR [2016-2020],0.48114401417362695,0.8823529411764706,0.034463792392214705,0,1,0,0,0,0,1,0,Mumbai,Grey,1,0,0,0,Individual,2393 cc,RWD,0.7598699489084998,0.501412429378531,0.7134670487106017,0.8333333333333334,0.47058823529411764
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciaz ZXi,0.15844090103771197,0.8529411764705882,0.036621373301498804,1,0,0,0,0,0,1,0,Pune,Grey,1,0,0,0,Individual,1373 cc,FWD,0.6460752438457965,0.3601694915254237,0.2693409742120344,0.5,0.32941176470588235
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X1 xDrive20d M Sport,0.6583143507972665,0.8529411764705882,0.037463904896433614,0,1,0,0,0,0,0,1,Coimbatore,White,0,1,0,0,Individual,1995 cc,AWD,0.6223873664653972,0.4887005649717514,0.4512893982808023,0.5,0.4235294117647059
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Octavia 1.8 TSI Style Plus AT [2017],0.33940774487471526,0.8529411764705882,0.02796354863307374,1,0,0,0,0,0,0,1,Mumbai,White,1,0,0,0,Individual,1798 cc,FWD,0.7296795169530887,0.4788135593220339,0.25644699140401145,0.5,0.4117647058823529
9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terrano XL (D),0.1331308529486206,0.7941176470588235,0.04246409240346513,0,1,0,0,0,0,1,0,Mumbai,White,1,0,0,0,Individual,1461 cc,FWD,0.5722248026010218,0.4901129943502825,0.5358166189111748,0.5,0.4117647058823529
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elite i20 Sportz 1.2,0.13718046064287523,0.8529411764705882,0.010103378876707876,1,0,0,0,0,0,1,0,Mumbai,Red,1,0,0,0,Individual,1197 cc,FWD,0.41151881096144916,0.365819209039548,0.2979942693409742,0.5,0.35294117647058826
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kwid 1.0 RXT [2016-2019],0.10402404454568463,0.8823529411764706,0.011233421253296998,1,0,0,0,0,0,1,0,Bangalore,Grey,1,0,0,0,Individual,999 cc,FWD,0.26939154667905246,0.14689265536723164,0.2593123209169054,0.5,0.15294117647058825
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciaz Alpha Hybrid 1.5 AT [2018-2020],0.25968109339407747,0.9117647058823529,0.015299073715264322,1,0,0,0,0,0,0,1,Bangalore,Blue,1,0,0,0,Individual,1462 cc,FWD,0.6460752438457965,0.3601694915254237,0.2693409742120344,0.5,0.32941176470588235
13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrier XZ [2019-2020],0.41660339154644394,0.9117647058823529,0.010390889658362188,0,1,0,0,0,0,1,0,Bangalore,Orange,1,0,0,0,Individual,1956 cc,FWD,0.6962378077101719,0.5918079096045198,0.5859598853868195,0.5,0.4117647058823529
14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polo GT TSI,0.22677777777777777,0.8529411764705882,0.020671775191569684,1,0,0,0,0,0,0,1,Bangalore,Grey,1,0,0,0,Individual,1197 cc,FWD,0.4050162563864375,0.2923728813559322,0.24641833810888253,0.5,0.35294117647058826
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Celerio ZXi AMT [2019-2020],0.13161225006327512,0.8235294117647058,0.005698213683013113,1,0,0,0,0,0,0,1,Bangalore,Red,1,0,0,0,Individual,998 cc,FWD,0.2768230376219229,0.1765536723163842,0.37679083094555876,0.5,0.23529411764705882
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alto 800 LXi (O),0.10124019235636547,0.9117647058823529,0.001754065777466655,1,0,0,0,0,0,1,0,Bangalore,Grey,1,0,0,0,Individual,796 cc,FWD,0.1607059916395727,0.05649717514124294,0.25501432664756446,0.5,0.23529411764705882
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baleno Alpha Automatic,0.21412275373323209,0.8823529411764706,0.010645399202470093,1,0,0,0,0,0,0,1,Bangalore,Grey,1,0,0,0,Individual,1197 cc,FWD,0.41616349280074316,0.3813559322033898,0.30515759312320917,0.5,0.25882352941176473
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wagon R ZXi 1.2 AMT,0.1645153125790939,0.9411764705882353,0.015351575684088153,1,0,0,0,0,0,0,1,Bangalore,White,1,0,0,0,Individual,1197 cc,FWD,0.25824431026474687,0.20480225988700565,0.5415472779369628,0.5,0.2
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creta 1.6 E Petrol,0.17489243229562138,0.8235294117647058,0.03002612597972424,1,0,0,0,0,0,1,0,Delhi,Silver,1,0,0,0,Individual,1591 cc,FWD,0.5438922433813284,0.4307909604519774,0.47707736389684813,0.5,0.5294117647058824
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-Presso VXi AMT,0.10655530245507466,0.9411764705882353,0.0010470392639723989,1,0,0,0,0,0,0,1,Mumbai,Grey,1,0,0,0,Individual,998 cc,FWD,0.21644217371110078,0.0635593220338983,0.3825214899713467,0.5,0.1411764705882353
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vento Comfortline Petrol AT,0.1812199443178942,0.7941176470588235,0.030083628136055102,1,0,0,0,0,0,0,1,Bangalore,Brown,1,0,0,0,Individual,1197 cc,FWD,0.5968416163492801,0.3163841807909605,0.24212034383954154,0.5,0.47058823529411764
22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santro Sportz AMT [2018-2020],0.1366742596810934,0.8823529411764706,0.006848756828381064,1,0,0,0,0,0,0,1,Bangalore,White,1,0,0,0,Individual,1086 cc,FWD,0.23734324198792384,0.2401129943502825,0.37679083094555876,0.5,0.23529411764705882
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Venue SX 1.0 (O) Petrol [2019-2020],0.240445456846368,0.9117647058823529,0.013695013563008613,1,0,0,0,0,0,1,0,Bangalore,Blue,1,0,0,0,Individual,998 cc,FWD,0.41616349280074316,0.4166666666666667,0.44126074498567336,0.5,0.35294117647058826
24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alto LXi CNG,0.0812452543659833,0.9117647058823529,0.023651886945760467,0,0,1,0,0,0,1,0,Delhi,Grey,1,0,0,0,Individual,998 cc,FWD,0.20715281003251276,0.0211864406779661,0.25501432664756446,0.3333333333333333,0.5294117647058824
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ritz Zxi BS-IV,0.06985573272589218,0.7352941176470589,0.011505931472430217,1,0,0,0,0,0,1,0,Mumbai,Grey,1,0,0,0,Individual,1197 cc,FWD,0.31398049233627495,0.2895480225988701,0.46275071633237824,0.5,0.32941176470588235
26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creta 1.6 SX Plus Petrol,0.28499114148316884,0.9117647058823529,0.018119679487980798,1,0,0,0,0,0,1,0,Mumbai,Grey,1,0,0,0,Individual,1591 cc,FWD,0.5438922433813284,0.4307909604519774,0.47707736389684813,0.5,0.5294117647058824
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brio V MT,0.07643634522905593,0.7647058823529411,0.019601235046314235,1,0,0,0,0,0,1,0,Mumbai,Red,1,0,0,0,Individual,1198 cc,FWD,0.23734324198792384,0.2895480225988701,0.29083094555873923,0.5,0.23529411764705882
